nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm1588970	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0072308,tt0050419,tt0031983,tt0053137
nm0005690	Lauren Bacall	1924	2014	actress,soundtrack	tt0117057,tt0071877,tt0037382,tt0038355
nm0374658	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0049189,tt0054452,tt0057345,tt0056404
nm0721526	John Belushi	1949	1982	actor,soundtrack,writer	tt0077975,tt0078723,tt0080455,tt0072562
nm1335271	Ingmar Bergman	1918	2007	writer,director,actor	tt0060827,tt0050976,tt0050986,tt0069467
nm1770680	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0033870,tt0034583,tt0042593,tt0043265
nm5442200	Richard Burton	1925	1984	actor,soundtrack,producer	tt0057877,tt0059749,tt0087803,tt0061184
nm0443482	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0031210,tt0035140,tt0056687,tt0042192
nm0653042	Doris Day	1922	2019	soundtrack,actress,producer	tt0045591,tt0049470,tt0053172,tt0048317
nm0249379	James Dean	1931	1955	actor,miscellaneous	tt0120956,tt0048545,tt0049261,tt0048028
nm0179163	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0021156,tt0051201,tt0055031,tt0052311
nm0183947	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0049456,tt0054331,tt0043338,tt0043465
nm0653028	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0025316,tt0031381,tt0023382
nm0063086	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0112715,tt0119488,tt0117731,tt0077269
nm0183823	Cary Grant	1904	1986	actor,soundtrack,producer	tt0034248,tt0053125,tt0048728,tt0056923
nm1309758	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0076759,tt0041546,tt0050212,tt0051739
nm0085156	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0038559,tt0040525,tt0035103,tt0036723
nm0525910	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0110138,tt0074802,tt0077800,tt0102122
