tconst	ordering	nconst	category	job	characters
tt0000001	1	nm1588970	self	\N	["Self"]
tt0000001	2	nm0005690	director	\N	\N
tt0000001	3	nm0374658	cinematographer	director of photography	\N
tt0000002	1	nm0721526	director	\N	\N
tt0000002	2	nm1335271	composer	\N	\N
tt0000003	1	nm0721526	director	\N	\N
tt0000003	2	nm1770680	producer	producer	\N
tt0000003	3	nm1335271	composer	\N	\N
tt0000003	4	nm5442200	editor	\N	\N
tt0000004	1	nm0721526	director	\N	\N
tt0000004	2	nm1335271	composer	\N	\N
tt0000005	1	nm0443482	actor	\N	["Blacksmith"]
tt0000005	2	nm0653042	actor	\N	["Assistant"]
tt0000005	3	nm0005690	director	\N	\N
tt0000005	4	nm0249379	producer	producer	\N
tt0000006	1	nm0005690	director	\N	\N
tt0000007	1	nm0179163	actor	\N	\N
tt0000007	2	nm0183947	actor	\N	\N
tt0000007	3	nm0005690	director	\N	\N
tt0000007	4	nm0374658	director	\N	\N
tt0000007	5	nm0249379	producer	producer	\N
tt0000008	1	nm0653028	actor	\N	["Sneezing Man"]
tt0000008	2	nm0005690	director	\N	\N
tt0000008	3	nm0374658	cinematographer	\N	\N
tt0000009	1	nm0063086	actress	\N	["Miss Geraldine Holbrook (Miss Jerry)"]
tt0000009	2	nm0183823	actor	\N	["Mr. Hamilton"]
tt0000009	3	nm1309758	actor	\N	["Chauncey Depew - the Director of the New York Central Railroad"]
tt0000009	4	nm0085156	director	\N	\N
tt0000010	1	nm0525910	director	\N	\N
