nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0004972,tt0006864,tt0010484,tt0009559
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt5377528,tt8632012,tt14297038,tt3894536
nm0000859	Lionel Barrymore	1878	1954	actor,director,soundtrack	tt0030993,tt0040506,tt0021885,tt0038650
nm0000875	L. Frank Baum	1856	1919	writer,producer,miscellaneous	tt0032138,tt0089908,tt0004207,tt0000679
nm0001908	Gilbert M. 'Broncho Billy' Anderson	1880	1971	director,actor,producer	tt0003719,tt0176832,tt0183803,tt0001706
nm0002001	Maurice Chevalier	1888	1972	soundtrack,actor,writer	tt0050658,tt0056095,tt0020112,tt0051658
nm0002042	Charles Dickens	1812	1870	writer,soundtrack,miscellaneous	tt0096061,tt0119223,tt0095776,tt0063385
nm0002503	Harry Carey	1878	1947	actor,writer,producer	tt0022495,tt0031679,tt0032247,tt0040724
nm0002504	Herbert Beerbohm Tree	1852	1917	actor,director,writer	tt1986989,tt0006995,tt0001658,tt0000247
nm0002615	Siegmund Lubin	1851	1923	producer,director,actor	tt0000472,tt0287024,tt0238498,tt0780034
nm0003471	Richard Wagner	1813	1883	soundtrack,music_department,writer	tt1590193,tt0409459,tt0093894,tt0458339
nm0005658	G.W. Bitzer	1872	1944	cinematographer,director,camera_department	tt0331431,tt0006864,tt0431889,tt0004972
nm0005690	William K.L. Dickson	1860	1935	cinematographer,director,producer	tt0308254,tt1428455,tt1496763,tt1770702
nm0005717	Fructuós Gelabert	1874	1955	director,cinematographer,writer	tt0004954,tt0003113,tt0001756,tt0000859
nm0006269	Camille Saint-Saëns	1835	1921	soundtrack,music_department,composer	tt0108358,tt0112579,tt1748122,tt1355630
nm0007221	Maurice Costello	1877	1950	actor,director,writer	tt0005695,tt0483687,tt0460155,tt0006554
nm0007625	A.C. Abadie	1878	1950	cinematographer,director,actor	tt0485015,tt0167051,tt0777868,tt0477387
nm0010017	Walter Ackerman	1881	1938	actor	tt0019719,tt0017655,tt0016301,tt1690452
nm0010291	Birt Acres	1854	1918	cinematographer,director,producer	tt0000025,tt0282161,tt0000030,tt0000024
nm0011370	Stella Adams	1883	1961	actress	tt0024727,tt0321143,tt0131072,tt0332120
nm0012317	John G. Adolfi	1881	1933	director,actor,writer	tt0005700,tt0007058,tt0009527,tt0016218
nm0012505	Lorenza Adriá	\N	\N	actress	tt0002325,tt0000723
nm0014656	Raymond Aimos	1889	1944	actor	tt0030643,tt0035075,tt0024480,tt0197362
nm0016071	Juan Alarma	\N	\N	actor	tt0000514
nm0016317	Fernande Albany	1889	1966	actress	tt0002113,tt0039434,tt0179815,tt0194128
nm0017074	Ernesto de Albuquerque	1883	1940	director,cinematographer,editor	tt0014292,tt1584827,tt0014518,tt0013543
nm0022607	Carl Alstrup	1877	1942	actor,director,writer	tt0001049,tt0029086,tt2346640,tt2341886
nm0022608	Oda Alstrup	1888	1964	actress	tt2341434,tt2404050,tt2404004,tt0000583
nm0023107	Hermanos Alva	\N	\N	director,cinematographer,editor	tt0000879,tt0000984,tt0002458,tt0002025
nm0023121	Hjalmar Alvar	1877	1940	actor	tt0000541
nm0024344	Pitje Ambreville	\N	\N	actor	tt0000971
nm0024464	Arturo Ambrosio	1870	1960	producer,director,production_manager	tt0004049,tt0161413,tt1070776,tt0189820
nm0024876	José Amigo	\N	\N	actor	tt0000165
nm0026153	Hans Christian Andersen	1805	1875	writer,soundtrack,miscellaneous	tt4520988,tt2294629,tt0040725,tt5971474
nm0029244	Victor André	\N	\N	actor	tt0000417
nm0034453	José Argelagués	\N	\N	actor	tt0009039,tt0009955,tt0000941
nm0035187	Charles Arling	1880	1922	actor	tt0009900,tt0012628,tt0005227,tt0196805
nm0035502	Frederick S. Armitage	1874	1933	cinematographer,director,producer	tt0243977,tt0359188,tt0230253,tt0257029
nm0037789	Julia Arthur	1868	1950	actress	tt0007817,tt0008954,tt0353535,tt0000643
nm0038106	Linda Arvidson	1884	1949	actress,writer	tt0160818,tt1487900,tt0000628,tt0000787
nm0038260	L. As	\N	\N	actor	tt0000632
nm0040750	Josephine Atkinson	1882	1954	actress	tt0000754
nm0041669	Florence Auer	1880	1962	actress,writer	tt0000638,tt0228299,tt0041955,tt0000756
nm0041858	Edwin August	1883	1964	actor,director,writer	tt0010576,tt0007599,tt0002686,tt0004990
nm0043018	Charles Avery	1873	1926	actor,director,assistant_director	tt0006808,tt0146888,tt0000770,tt1582607
nm0045867	André Bacqué	1880	1945	actor	tt0019127,tt0000970,tt0025471,tt0025191
nm0051042	Lidia Balogh	1870	1911		tt0000376
nm0054884	Florence Barker	1891	1913	actress,writer	tt0229668,tt0001236,tt0001207,tt0000826
nm0055607	George Barnes	1880	1951	actor	tt0322643,tt0434558,tt0428407,tt0003756
nm0055661	Justus D. Barnes	1862	1946	actor	tt0002504,tt0247577,tt0415738,tt0415631
nm0059578	Emilia Baró	1882	1964	actress	tt0041693,tt0000622,tt0036584,tt0004345
nm0060238	Russell Bassett	1845	1918	actor	tt0008561,tt0008116,tt0004654,tt0007118
nm0063086	Blanche Bayliss	1878	1951	actress	tt0000009
nm0063412	Ramón de Baños	1890	1980	cinematographer,director,special_effects	tt4450854,tt0175951,tt0014345,tt0001532
nm0063413	Ricardo de Baños	1884	1939	director,cinematographer,writer	tt0000941,tt0002886,tt0024495,tt0004406
nm0064415	William Beaudine	1892	1970	director,assistant_director,writer	tt0036382,tt0036833,tt0035640,tt0034689
nm0065035	Mrs. William Bechtel	1861	1938	actress	tt0158877,tt0213394,tt0003682,tt0007230
nm0065393	Denise Becker	\N	\N	actress	tt0000511,tt0183937,tt0949396
nm0066941	Ernst Behmer	1875	1938	actor	tt0027351,tt0020719,tt0024724,tt0264166
nm0069325	Eleanor Robson Belmont	1879	1979	writer,actress	tt0020998,tt1204146,tt0000486,tt0033452
nm0072493	Frank R. Benson	1858	1939	actor,director,production_designer	tt0001857,tt0001715,tt0001761,tt0125529
nm0076202	Dorothy Bernard	1890	1955	actress	tt0008494,tt0012849,tt0005630,tt0009309
nm0076800	Sarah Bernhardt	1844	1923	actress,writer,miscellaneous	tt0001175,tt0008359,tt0200269,tt0202209
nm0076933	Bleuette Bernon	1878	1937	actress	tt0000230,tt0131934,tt0000465
nm0077702	Berryer	\N	\N	actor	tt0000971
nm0078116	Francesca Bertini	1892	1985	actress,producer,writer	tt0009715,tt0193434,tt0183433,tt0003637
nm0078562	Ilona Hegedüsné Berzétey	1876	1962	actress	tt0241741,tt0000376,tt0242127
nm0079813	William Bewer	1867	1965	actor	tt2421336,tt2426358,tt2429576,tt0129322
nm0081288	Rudolf Biebrach	1866	1938	actor,director,cinematographer	tt0434182,tt0441444,tt0010636,tt0440056
nm0082349	Svend Bille	1890	1973	actor	tt0124925,tt0033327,tt0124270,tt2425898
nm0083196	Santiago Biosca	\N	\N	cinematographer	tt0000165
nm0084690	Jacques Bizeul	1882	1925	cinematographer	tt0010499,tt0009455,tt0010440,tt0010104
nm0084830	Rasmus Bjerregaard	1882	1917	cinematographer	tt0001358,tt0000566,tt0000559,tt0000541
nm0085156	Alexander Black	1859	1940	director,writer,cinematographer	tt0000009
nm0085865	J. Stuart Blackton	1875	1941	director,producer,miscellaneous	tt0013182,tt0010054,tt0010481,tt0016955
nm0085870	Paula Blackton	1881	1930	actress,writer,director	tt0010374,tt0143244,tt0143898,tt0000528
nm0086082	Lujza Blaha	1850	1926	actress	tt0000376,tt0007112
nm0086982	Luis Blanca	\N	\N	actor	tt0000664
nm0088881	August Blom	1869	1947	director,actor,producer	tt0002646,tt0121456,tt2345521,tt0128813
nm0091426	Hermann Boettger	1878	\N	cinematographer	tt0002628,tt0497119,tt0981014,tt6021542
nm0091767	Francis Boggs	1870	1911	director,writer,producer	tt0144960,tt0361473,tt0000679,tt0361398
